abruptly ; plötzlich / abrupt
to convert;konvertieren
to cremate;einÃ¤schern
to curse;verfluchen
to devote;widmen
to fast;fasten
to forgive;vergeben / verzeihen
to meditate;meditieren
to mourn;trauern
to pray;beten
to preach;predigen
to repent;bereuen / BuÃŸe tun
to resurrect;auferstehen
to sacrifice;opfern
to sin;sÃ¼ndigen
to worship;anbeten / verehren
to admire;bewundern
to amuse;amÃ¼sieren / belustigen
to annoy;Ã¤rgern / nerven
to astonish;erstaunen
to comfort;trÃ¶sten
to confuse;verwirren
to delight;erfreuen / entzÃ¼cken
to depress;deprimieren / niederdrÃ¼cken
to disappoint;enttÃ¤uschen
to disgust;anwidern / ekeln
to embarrass;blamieren / in Verlegenheit bringen
to fascinate;faszinieren
to frighten;Ã¤ngstigen / erschrecken
to impress;beeindrucken
to irritate;irritieren / reizen
to pity;bemitleiden
to satisfy;befriedigen / zufriedenstellen
to startle;erschrecken (plÃ¶tzlich)
to terrify;in Schrecken versetzen
to yearn;sich sehnen nach
to alleviate;lindern / abschwÃ¤chen
to ascertain;ermitteln / sicherstellen
to commence;anfangen / beginnen
to compel;zwingen / nÃ¶tigen
to constrain;einschrÃ¤nken / zwingen
to deviate;abweichen
to differentiate;differenzieren
to disclose;enthÃ¼llen / bekanntgeben
to disperse;zerstreuen / verteilen
to exceed;Ã¼berschreiten
to exemplify;veranschaulichen
to inhibit;hemmen / hindern
to initiate;initiieren / einleiten
to interact;interagieren
to intervene;einschreiten / intervenieren
to isolate;isolieren
to mitigate;mildern / entschÃ¤rfen
to quantify;quantifizieren / beziffern
to rectify;richtigstellen / beheben
to stimulate;anregen / stimulieren
abandonment ; die Verlassenheit / die Aufgabe
absence ; die Abwesenheit
abundance ; der Überfluss / die Fülle
access ; der Zugang / der Zugriff
accomplishment ; die Errungenschaft / die Leistung
accountability ; die Rechenschaftspflicht / die Verantwortlichkeit
accuracy ; die Genauigkeit / die Präzision
achievement ; die Leistung / der Erfolg
acknowledgement ; die Anerkennung / die Bestätigung
adjustment ; die Anpassung / die Justierung
admiration ; die Bewunderung
advantage ; der Vorteil
adversity ; das Unglück / die Widerwärtigkeit
advocate ; der Befürworter / der Anwalt
affair ; die Angelegenheit / die Affäre
aftermath ; die Nachwirkungen / die Folge
allegation ; die Behauptung / der Vorwurf
amendment ; die Änderung / der Zusatz
anxiety ; die Angst / die Besorgnis
apprehension ; die Besorgnis / die Befürchtung
approach ; der Ansatz / die Herangehensweise
appropriateness ; die Angemessenheit
arbitration ; die Schlichtung / das Schiedsverfahren
argument ; das Argument / die Auseinandersetzung
arrogance ; die Arroganz / die Überheblichkeit
aspiration ; das Streben / das Ziel
asset ; der Vermögenswert / der Vorteil
assumption ; die Annahme / die Vermutung
assurance ; die Zusicherung / die Gewissheit
atrocity ; die Gräueltat
attainment ; die Erreichung / die Leistung
attitude ; die Einstellung / die Haltung
audacity ; die Kühnheit / die Frechheit
authority ; die Autorität / die Behörde
autonomy ; die Autonomie / die Selbstbestimmung
awareness ; das Bewusstsein
bargain ; das Schnäppchen / das Abkommen
barrier ; die Barriere / das Hindernis
behalf ; der Teil / die Stelle (on behalf of = im Namen von)
bias ; die Voreingenommenheit / die Befangenheit
bond ; die Bindung / die Verbindung
boom ; der Aufschwung / der Boom
burden ; die Last / die Bürde
calamity ; die Katastrophe / das Unheil
capability ; die Fähigkeit / die Leistungsfähigkeit
capacity ; die Kapazität / die Aufnahmefähigkeit
capital ; das Kapital / die Hauptstadt
catchphrase ; der Schlagwort / der Slogan
caterpillar ; die Raupe
causality ; die Kausalität / die Ursächlichkeit
caution ; die Vorsicht
celebrity ; die Berühmtheit / der Prominente
challenge ; die Herausforderung
chamber ; die Kammer / der Raum
characteristic ; die Eigenschaft / das Merkmal
charity ; die Wohltätigkeit / die Nächstenliebe
circumstance ; der Umstand / die Begebenheit
clarity ; die Klarheit
cohesion ; der Zusammenhalt / die Kohäsion
coincidence ; der Zufall
collaboration ; die Zusammenarbeit
commencement ; der Beginn / der Anfang
commitment ; die Verpflichtung / das Engagement
commodity ; das Gut / die Ware
compensation ; die Entschädigung / die Vergütung
competence ; die Kompetenz / die Zuständigkeit
complacency ; die Selbstzufriedenheit / die Genügsamkeit
component ; die Komponente / das Bauteil
comprehension ; das Verständnis / die Auffassung
compromise ; der Kompromiss
conceit ; die Eitelkeit / der Hochmut
concept ; das Konzept / der Begriff
concern ; das Anliegen / die Sorge
concession ; das Zugeständnis / die Konzession
confidence ; das Vertrauen / die Zuversicht
confinement ; die Beschränkung / die Haft
consequence ; die Konsequenz / die Folge
consideration ; die Überlegung / die Rücksichtnahme
conspiracy ; die Verschwörung
constraint ; die Einschränkung / der Zwang
contention ; der Streit / die Behauptung
context ; der Kontext / der Zusammenhang
contradiction ; der Widerspruch
controversy ; die Kontroverse / der Streit
convenience ; die Bequemlichkeit / die Annehmlichkeit
convention ; die Konvention / die Tagung
conviction ; die Überzeugung / die Verurteilung
correlation ; die Korrelation / der Zusammenhang
counsel ; der Rat / der Anwalt
credibility ; die Glaubwürdigkeit
criterion ; das Kriterium / das Merkmal
cruelty ; die Grausamkeit / die Härte
culprit ; der Schuldige / der Täter
curiosity ; die Neugier
custody ; das Sorgerecht / der Gewahrsam
damage ; der Schaden / die Beschädigung
deception ; die Täuschung / der Betrug
deduction ; die Schlussfolgerung / der Abzug
defection ; der Übertritt / die Abtrünnigkeit
deficiency ; der Mangel / die Unzulänglichkeit
deficit ; das Defizit / der Fehlbetrag
degradation ; die Erniedrigung / die Verschlechterung
delay ; die Verzögerung / die Verspätung
deliberation ; die Überlegung / die Beratung
denial ; die Verweigerung / die Leugnung
dependence ; die Abhängigkeit
deprivation ; der Entzug / der Mangel
descendant ; der Nachkomme
designation ; die Bezeichnung / die Benennung
despair ; die Verzweiflung
detriment ; der Schaden / der Nachteil
deviation ; die Abweichung
dignity ; die Würde
dilemma ; das Dilemma / die Zwickmühle
diminution ; die Verringerung / die Minderung
disappointment ; die Enttäuschung
disaster ; die Katastrophe
discrepancy ; die Diskrepanz / die Abweichung
discretion ; die Diskretion / das Ermessen
discrimination ; die Diskriminierung / die Unterscheidung
disguise ; die Verkleidung / die Tarnung
dismissal ; die Entlassung / die Ablehnung
disparity ; die Ungleichheit / das Missverhältnis
disposal ; die Entsorgung / die Verfügung
disruption ; die Störung / die Unterbrechung
distinction ; der Unterschied / die Unterscheidung
diversity ; die Vielfalt / die Diversität
domain ; der Bereich / das Gebiet
doubt ; der Zweifel
drawback ; der Nachteil / das Mangel
drought ; die Dürre / die Trockenheit
duration ; die Dauer / die Zeitspanne
eagerness ; der Eifer / die Begierde
earnings ; die Einnahmen / der Verdienst
echelon ; die Rangstufe / die Ebene
economy ; die Wirtschaft / die Sparsamkeit
efficacy ; die Wirksamkeit / die Effizienz
eligibility ; die Berechtigung / die Eignung
elaboration ; die Ausarbeitung / die Erläuterung
emergency ; der Notfall
emphasis ; die Betonung / der Schwerpunkt
enactment ; die Verabschiedung / der Erlass
endeavour ; das Bestreben / die Bemühung
engagement ; die Verpflichtung / das Engagement
entity ; die Einheit / das Gebilde
envy ; der Neid
equilibrium ; das Gleichgewicht
equity ; die Gerechtigkeit / das Eigenkapital
essence ; die Essenz / das Wesen
establishment ; die Gründung / die Einrichtung
esteem ; die Achtung / die Wertschätzung
etiquette ; die Etikette / die Umgangsformen
evidence ; der Beweis / die Belege
exaggeration ; die Übertreibung
exception ; die Ausnahme
exchange ; der Austausch / die Wechselstube
excuse ; die Ausrede / die Entschuldigung
exhibition ; die Ausstellung
exile ; das Exil / die Verbannung
expenditure ; die Ausgaben / der Aufwand
expertise ; das Fachwissen / die Expertise
explosion ; die Explosion
exposure ; die Belichtung / die Enthüllung / die Aussetzung
extent ; das Ausmaß / der Umfang
facility ; die Einrichtung / die Anlage
factor ; der Faktor / der Umstand
famine ; die Hungersnot
fatigue ; die Ermüdung / die Erschöpfung
feat ; die Heldentat / die Meisterleistung
fellowship ; die Gemeinschaft / das Stipendium
fidelity ; die Treue / die Genauigkeit
flaw ; der Fehler / der Mangel
fluctuation ; die Schwankung / die Fluktuation
foe ; der Feind / der Gegner
folly ; die Torheit / die Verrücktheit
forecast ; die Vorhersage / die Prognose
forethought ; die Voraussicht / die Vorsorge
forgiveness ; die Vergebung
framework ; der Rahmen / das Gerüst
frenzy ; der Rausch / der Wahn
frustration ; die Frustration / die Enttäuschung
fugitive ; der Flüchtling
funding ; die Finanzierung / die Mittel
gap ; die Lücke / die Kluft
glimpse ; der flüchtige Blick / die Andeutung
gridlock ; die Verkehrsstauung / die Blockade
guarantee ; die Garantie / die Bürgschaft
guidance ; die Führung / die Anleitung
hallway ; der Flur / der Korridor
harassment ; die Belästigung
hazard ; die Gefahr / das Risiko
headquarters ; die Zentrale / das Hauptquartier
heir ; der Erbe
heritage ; das Erbe / das Kulturgut
hindrance ; das Hindernis / die Behinderung
homage ; die Huldigung / der Tribut
honour ; die Ehre
horizon ; der Horizont
hostility ; die Feindseligkeit / die Ablehnung
humility ; die Bescheidenheit / die Demut
hypothesis ; die Hypothese / die Annahme
identity ; die Identität / die Persönlichkeit
ideology ; die Ideologie
ignorance ; die Unwissenheit / die Ignoranz
image ; das Bild / der Ruf
impact ; die Auswirkung / der Einschlag
imperative ; der Imperativ / die Notwendigkeit
implication ; die Implikation / die Auswirkung / die Andeutung
incentive ; der Anreiz / die Motivation
inconsistency ; die Inkonsistenz / der Widerspruch
indifference ; die Gleichgültigkeit
indignity ; die Unwürde / die Demütigung
induction ; die Einführung / die Induktion
inequality ; die Ungleichheit
infatuation ; die Verliebtheit / die Schwärmerei
inference ; die Schlussfolgerung / die Folgerung
infinity ; die Unendlichkeit
infrastructure ; die Infrastruktur
inhibition ; die Hemmung / die Inhibition
initiative ; die Initiative / der Anstoß
innovation ; die Innovation / die Neuerung
inquiry ; die Anfrage / die Untersuchung
insight ; die Einsicht / die Erkenntnis
insomnia ; die Schlaflosigkeit
instance ; der Fall / das Beispiel
integrity ; die Integrität / die Ehrlichkeit
intention ; die Absicht / die Intention
interaction ; die Interaktion / die Wechselwirkung
interdependence ; die gegenseitige Abhängigkeit
interest ; das Interesse / der Zins
interface ; die Schnittstelle
interpretation ; die Interpretation / die Auslegung
intervention ; die Intervention / der Eingriff
intricacy ; die Komplexität / die Feinheit
intuition ; die Intuition / das Bauchgefühl
inversion ; die Umkehrung / die Inversion
involvement ; die Beteiligung / das Engagement
irony ; die Ironie
isolation ; die Isolation / die Absonderung
jeopardy ; die Gefahr / das Risiko
judgement ; das Urteil / die Beurteilung
jurisdiction ; die Gerichtsbarkeit / die Zuständigkeit
justification ; die Rechtfertigung
kinship ; die Verwandtschaft / die Verbundenheit
knowledge ; das Wissen / die Kenntnis
lapse ; der Fehler / der Ausrutscher
liability ; die Haftung / die Verbindlichkeit
limitation ; die Begrenzung / die Einschränkung
livelihood ; der Lebensunterhalt
longevity ; die Langlebigkeit
loophole ; das Schlupfloch / die Gesetzeslücke
loyalty ; die Loyalität / die Treue
lust ; die Lust / die Begierde
magnitude ; die Größenordnung / das Ausmaß
malice ; die Bosheit / der Groll
mandate ; das Mandat / der Auftrag
manoeuvre ; das Manöver / die geschickte Bewegung
manifestation ; die Manifestation / die Offenbarung
manipulation ; die Manipulation
margin ; der Rand / die Spanne
maturity ; die Reife / die Fälligkeit
means ; das Mittel / die Art und Weise
measure ; die Maßnahme / das Maß
mediation ; die Vermittlung / die Mediation
memoir ; die Memoiren / der Tatsachenbericht
mentality ; die Mentalität / die Denkweise
mercy ; die Gnade / das Erbarmen
merit ; der Verdienst / das Verdienst
metaphor ; die Metapher / das Sinnbild
methodology ; die Methodik / die Methodologie
miscarriage ; die Fehlgeburt / das Scheitern
misconception ; das Missverständnis / die Fehlvorstellung
misdemeanor ; das Vergehen / die Ordnungswidrigkeit
misery ; das Elend / das Unglück
misfortune ; das Missgeschick / das Pech
momentum ; der Schwung / die Dynamik
monopoly ; das Monopol
morality ; die Moral / die Sittlichkeit
motive ; das Motiv / der Beweggrund
multiplicity ; die Vielfalt / die Vielzahl
narrative ; die Erzählung / die Geschichte
neglect ; die Vernachlässigung
negotiation ; die Verhandlung
net ; das Netz / der Ertrag (Finanzen)
nexus ; die Verbindung / der Zusammenhang
notion ; die Vorstellung / die Idee
nuance ; die Nuance / der Feinheit
objection ; der Einwand / der Widerspruch
obligation ; die Verpflichtung
obscurity ; die Unklarheit / die Dunkelheit
occurrence ; das Ereignis / das Vorkommnis
omen ; das Omen / das Vorzeichen
omission ; die Auslassung / das Versäumnis
onset ; der Beginn / der Ausbruch
opportunity ; die Gelegenheit / die Chance
optimism ; der Optimismus
outburst ; der Ausbruch / die Explosion
outcome ; das Ergebnis / der Ausgang
outlet ; die Verkaufsstelle / der Auslass
outlook ; die Aussicht / die Perspektive
output ; die Ausgabe / die Leistung
oversight ; die Aufsicht / das Versehen
paradigm ; das Paradigma / das Muster
paranoia ; die Paranoia / der Verfolgungswahn
patriotism ; der Patriotismus / die Vaterlandsliebe
pension ; die Rente / die Pension
perception ; die Wahrnehmung / die Auffassung
perspective ; die Perspektive / die Sichtweise
perseverance ; die Beharrlichkeit / die Ausdauer
phenomenon ; das Phänomen / die Erscheinung
pledge ; das Versprechen / die Zusage
plight ; die Notlage / die missliche Lage
popularity ; die Popularität / die Beliebtheit
portfolio ; das Portfolio / die Mappe
portion ; die Portion / der Anteil
posture ; die Haltung / die Körperhaltung
poverty ; die Armut
precedent ; der Präzedenzfall / der Musterfall
prejudice ; das Vorurteil / die Voreingenommenheit
premise ; die Prämisse / die Voraussetzung
preoccupation ; die Beschäftigung / die Besorgnis
prerequisite ; die Voraussetzung / die Bedingung
prestige ; das Ansehen / das Prestige
prevalence ; die Verbreitung / die Häufigkeit
prevention ; die Verhütung / die Vorbeugung
priority ; die Priorität / der Vorrang
privilege ; das Privileg / das Vorrecht
probability ; die Wahrscheinlichkeit
procedure ; das Verfahren / die Vorgehensweise
proceedings ; das Verfahren / die Verhandlungen
proficiency ; die Kompetenz / die Gewandtheit
prognosis ; die Prognose / die Vorhersage
projection ; die Projektion / der Entwurf
prominence ; die Bedeutung / das Hervorragen
proof ; der Beweis
propaganda ; die Propaganda
property ; das Eigentum / die Immobilie
proposal ; der Vorschlag / der Antrag
propriety ; die Schicklichkeit / die Angemessenheit
prosecution ; die Strafverfolgung / die Anklage
prospect ; die Aussicht / die Erwartung
prosperity ; der Wohlstand / die Prosperität
protest ; der Protest / der Einspruch
provocation ; die Provokation / die Herausforderung
prudence ; die Klugheit / die Umsicht
pursuit ; das Streben / die Verfolgung
quadrant ; der Quadrant / der Viertelkreis
qualification ; die Qualifikation / die Befähigung
quandary ; die Zwickmühle / die Verlegenheit
quantity ; die Menge / die Quantität
query ; die Anfrage / die Abfrage
quota ; die Quote / das Kontingent
rationale ; die Begründung / die Logik
realm ; das Reich / der Bereich
recession ; die Rezession / der Rückgang
reciprocity ; die Gegenseitigkeit / die Wechselseitigkeit
reckoning ; die Abrechnung / die Berechnung
recourse ; die Zuflucht / der Rückgriff
redundancy ; die Redundanz / die Entlassung
refuge ; die Zuflucht / das Asyl
regime ; das Regime / das System
relevance ; die Relevanz / die Wichtigkeit
relief ; die Erleichterung / die Entlastung
remedy ; das Heilmittel / die Abhilfe
remnant ; der Überrest / das Relikt
rendition ; die Wiedergabe / die Auslegung
renewal ; die Erneuerung / die Verlängerung
renunciation ; der Verzicht / die Lossagung
reparations ; die Reparationen / die Wiedergutmachung
repertoire ; das Repertoire / der Bestand
replica ; die Kopie / die Replik
representation ; die Vertretung / die Darstellung
reproach ; der Vorwurf / die Rüge
reputation ; der Ruf / das Ansehen
resilience ; die Widerstandsfähigkeit / die Belastbarkeit
resistance ; der Widerstand
resolution ; die Lösung / der Beschluss
resort ; der Ausweg / der Erholungsort
resource ; die Ressource / die Hilfsquelle
response ; die Antwort / die Reaktion
restraint ; die Zurückhaltung / die Einschränkung
retention ; die Beibehaltung / die Speicherung
retreat ; der Rückzug / die Zuflucht
revelation ; die Offenbarung / die Enthüllung
reverence ; die Ehrfurcht / die Verehrung
reversion ; die Rückkehr / die Umkehrung
revival ; die Wiederbelebung / der Aufschwung
rhetoric ; die Rhetorik / die Redekunst
rigour ; die Strenge / die Sorgfalt
rivalry ; die Rivalität / die Konkurrenz
route ; die Route / der Weg
ruin ; der Ruin / die Zerstörung
sabbatical ; das Sabbatical / das Forschungssemester
safeguard ; der Schutz / die Schutzmaßnahme
sanction ; die Sanktion / die Genehmigung
sanctuary ; das Heiligtum / der Schutzort
scepticism ; die Skepsis / der Zweifel
scheme ; das Schema / der Plan / die Verschwörung
scope ; der Umfang / der Geltungsbereich
scrutiny ; die genaue Prüfung / die Beobachtung
sect ; die Sekte
segment ; das Segment / der Abschnitt
seizure ; der Anfall / die Beschlagnahme
sequence ; die Abfolge / die Sequenz
serenity ; die Gelassenheit / die Heiterkeit
settlement ; die Siedlung / die Einigung
shift ; die Verschiebung / die Schicht
shortage ; der Mangel / die Knappheit
sibling ; das Geschwister
significance ; die Bedeutung / die Wichtigkeit
simplicity ; die Einfachheit
site ; der Standort / die Stätte
skeleton ; das Skelett / die Gliederung
slander ; die Verleumdung / die üble Nachrede
solemnity ; die Feierlichkeit / der Ernst
solitude ; die Einsamkeit / die Abgeschiedenheit
sovereignty ; die Souveränität / die Hoheitsgewalt
specialty ; die Spezialität / das Fachgebiet
speculation ; die Spekulation / die Vermutung
stability ; die Stabilität / die Beständigkeit
stake ; der Anteil / der Einsatz / der Pfahl
stance ; die Haltung / der Standpunkt
status ; der Status / der Zustand
stigma ; das Stigma / das Schandmal
stipulation ; die Bedingung / die Festsetzung
strain ; die Belastung / die Beanspruchung
strategy ; die Strategie
striving ; das Streben / die Bemühung
subjectivity ; die Subjektivität
substance ; die Substanz / der Stoff
subtlety ; die Feinheit / die Subtilität
succession ; die Abfolge / die Nachfolge
sufficiency ; die Genügsamkeit / die ausreichende Menge
suicide ; der Selbstmord
summit ; der Gipfel / das Gipfeltreffen
supervision ; die Aufsicht / die Überwachung
supplement ; die Ergänzung / der Zusatz
survey ; die Umfrage / die Übersicht
suspense ; die Spannung / die Ungewissheit
sympathy ; das Mitgefühl / die Sympathie
symptom ; das Symptom / das Anzeichen
synergy ; die Synergie / das Zusammenwirken
synthesis ; die Synthese / die Zusammensetzung
taboo ; das Tabu
tactic ; die Taktik
talent ; das Talent / die Begabung
tally ; die Strichliste / die Zählung
tangible ; die Greifbarkeit / das Greifbare
tedium ; die Langeweile / die Eintönigkeit
temperament ; das Temperament / die Veranlagung
tendency ; die Tendenz / die Neigung
tenet ; der Grundsatz / die Lehrmeinung
tenure ; die Amtszeit / der Besitz
testimony ; die Aussage / das Zeugnis
texture ; die Textur / die Oberflächenstruktur
theme ; das Thema / der Leitgedanke
thesis ; die These / die Abschlussarbeit
thrill ; der Nervenkitzel / der Schauer
thug ; der Schläger / der Verbrecher
tolerance ; die Toleranz / die Duldung
torment ; die Qual / die Pein
totality ; die Gesamtheit / die Totalität
tradition ; die Tradition
trait ; der Charakterzug / die Eigenschaft
transaction ; die Transaktion / das Geschäft
transfer ; der Transfer / die Übertragung
transition ; der Übergang / der Wechsel
transmission ; die Übertragung / die Getriebe
transparency ; die Transparenz / die Durchsichtigkeit
treaty ; der Vertrag / das Abkommen
tribute ; der Tribut / die Ehrerweisung
trouble ; der Ärger / die Schwierigkeit
trust ; das Vertrauen
turmoil ; der Aufruhr / die Unruhe
turnover ; der Umsatz / der Umschlag
tutor ; der Nachhilfelehrer / der Tutor
tyranny ; die Tyrannei / die Gewaltherrschaft
ultimate ; das Höchste / das Letzte
unanimity ; die Einstimmigkeit
undertaking ; das Unternehmen / das Vorhaben
unrest ; die Unruhe / die Aufregung
upsurge ; der Aufschwung / der Anstieg
urgency ; die Dringlichkeit
utility ; der Nutzen / die Nützlichkeit
utopia ; die Utopie
validity ; die Gültigkeit / die Stichhaltigkeit
valuation ; die Bewertung / die Schätzung
value ; der Wert
vanity ; die Eitelkeit / die Nichtigkeit
variation ; die Variation / die Abweichung
venue ; der Veranstaltungsort / der Tagungsort
verdict ; das Urteil / der Schuldspruch
vestige ; die Spur / der Überrest
veteran ; der Veteran / der Routinier
viability ; die Lebensfähigkeit / die Durchführbarkeit
vibrancy ; die Lebendigkeit / der Schwung
vice ; das Laster / das Fehlverhalten
victim ; das Opfer
victory ; der Sieg
vigour ; die Tatkraft / der Elan
violation ; die Verletzung / der Verstoß
virtue ; die Tugend / die Moral
vision ; die Vision / das Sehvermögen
vocation ; die Berufung / der Beruf
volatility ; die Volatilität / die Unbeständigkeit
vulnerability ; die Verletzlichkeit / die Verwundbarkeit
wad ; der Stapel / der Batzen (Geld)
warrant ; der Haftbefehl / die Genehmigung
wealth ; der Reichtum / das Vermögen
whim ; die Laune / die Marotte
wisdom ; die Weisheit
witness ; der Zeuge
woe ; das Leid / die Not
workforce ; die Arbeitskräfte / die Belegschaft
worship ; die Anbetung / der Gottesdienst
wrath ; der Zorn / die Wut
yield ; der Ertrag / die Ausbeute
zeal ; der Eifer / die Begeisterung
zenith ; der Zenit / der Höhepunkt
